org,repo,pull_number,instance_id,base_commit,total_errors_in_problem_statement,total_messages_in_base,total_messages_in_instance,missing_messages_count,missing_details_excerpt,run_returncode,run_logfile
catchorg,Catch2,2849,catchorg__Catch2_2849_47,7ce35799767de7b9c6ba836c72e479c5f70219a3,19,6346,6330,16,,,run_catchorg__Catch2_2849_47.log
catchorg,Catch2,2849,catchorg__Catch2_2849_48,7ce35799767de7b9c6ba836c72e479c5f70219a3,4,6346,6328,18,,,run_catchorg__Catch2_2849_48.log
catchorg,Catch2,2849,catchorg__Catch2_2849_49,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6308,38,,,run_catchorg__Catch2_2849_49.log
catchorg,Catch2,2849,catchorg__Catch2_2849_50,7ce35799767de7b9c6ba836c72e479c5f70219a3,3,6346,6343,3,,,run_catchorg__Catch2_2849_50.log
catchorg,Catch2,2849,catchorg__Catch2_2849_51,7ce35799767de7b9c6ba836c72e479c5f70219a3,7,6346,6345,1,,,run_catchorg__Catch2_2849_51.log
catchorg,Catch2,2849,catchorg__Catch2_2849_52,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6380,0,,,run_catchorg__Catch2_2849_52.log
catchorg,Catch2,2849,catchorg__Catch2_2849_53,7ce35799767de7b9c6ba836c72e479c5f70219a3,5,6346,6342,4,,,run_catchorg__Catch2_2849_53.log
catchorg,Catch2,2849,catchorg__Catch2_2849_54,7ce35799767de7b9c6ba836c72e479c5f70219a3,10,6346,6346,0,,,run_catchorg__Catch2_2849_54.log
catchorg,Catch2,2849,catchorg__Catch2_2849_55,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6340,6,,,run_catchorg__Catch2_2849_55.log
catchorg,Catch2,2849,catchorg__Catch2_2849_56,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6339,7,,,run_catchorg__Catch2_2849_56.log
catchorg,Catch2,2849,catchorg__Catch2_2849_57,7ce35799767de7b9c6ba836c72e479c5f70219a3,7,6346,6339,7,,,run_catchorg__Catch2_2849_57.log
catchorg,Catch2,2849,catchorg__Catch2_2849_58,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6305,41,,,run_catchorg__Catch2_2849_58.log
catchorg,Catch2,2849,catchorg__Catch2_2849_59,7ce35799767de7b9c6ba836c72e479c5f70219a3,3,6346,6351,0,,,run_catchorg__Catch2_2849_59.log
catchorg,Catch2,2849,catchorg__Catch2_2849_60,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6334,12,,,run_catchorg__Catch2_2849_60.log
catchorg,Catch2,2849,catchorg__Catch2_2849_61,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6318,28,,,run_catchorg__Catch2_2849_61.log
catchorg,Catch2,2849,catchorg__Catch2_2849_62,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6346,0,,,run_catchorg__Catch2_2849_62.log
catchorg,Catch2,2849,catchorg__Catch2_2849_63,7ce35799767de7b9c6ba836c72e479c5f70219a3,10,6346,6337,9,,,run_catchorg__Catch2_2849_63.log
catchorg,Catch2,2849,catchorg__Catch2_2849_64,7ce35799767de7b9c6ba836c72e479c5f70219a3,14,6346,6336,10,,,run_catchorg__Catch2_2849_64.log
catchorg,Catch2,2849,catchorg__Catch2_2849_65,7ce35799767de7b9c6ba836c72e479c5f70219a3,5,6346,6341,5,,,run_catchorg__Catch2_2849_65.log
catchorg,Catch2,2849,catchorg__Catch2_2849_66,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6346,6343,3,,,run_catchorg__Catch2_2849_66.log
catchorg,Catch2,2849,catchorg__Catch2_2849_67,7ce35799767de7b9c6ba836c72e479c5f70219a3,4,6346,6323,23,,,run_catchorg__Catch2_2849_67.log
catchorg,Catch2,2849,catchorg__Catch2_2849_68,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6322,24,,,run_catchorg__Catch2_2849_68.log
catchorg,Catch2,2849,catchorg__Catch2_2849_69,7ce35799767de7b9c6ba836c72e479c5f70219a3,15,6346,6346,0,,,run_catchorg__Catch2_2849_69.log
